feature,importance
stem_vs_humanities,0.09772474
has_entrepreneurship,0.059039723
creative_orientation,0.054741837
has_photography,0.053259835
collaboration_score,0.052298997
social_orientation,0.039649438
agreeableness,0.037977997
has_research,0.03526476
technical_orientation,0.034942567
has_cooking,0.032666467
has_volunteering,0.032260127
science_grade,0.030662922
has_music,0.03016233
academic_peak,0.02896885
academic_consistency,0.028588805
stem_score,0.026236048
has_reading,0.025696207
has_sports,0.025219593
academic_average,0.025176648
social_grade,0.023013888
innovation_potential,0.022132766
openness,0.018948764
has_writing,0.015331027
research_orientation,0.015199719
math_grade,0.013526463
has_programming,0.0132662
humanities_score,0.013234374
has_robotics,0.010123709
neuroticism,0.0072829165
avg_hobby_years,0.0060453205
conscientiousness,0.0057852315
extraversion,0.0056125135
english_grade,0.005517902
stress_resilience,0.0054731644
adaptability_score,0.0052855625
num_hobbies,0.005260027
max_hobby_proficiency,0.0050456626
max_hobby_intensity,0.004967704
academic_specialization_index,0.0048442087
people_orientation,0.004676907
avg_hobby_intensity,0.0045610955
language_grade,0.004499226
personality_extremity,0.0044551115
avg_hobby_proficiency,0.0039647524
hobby_intensity_std,0.0039124917
analytical_disposition,0.0038771725
detail_orientation,0.0033200122
has_gaming,0.0029676193
hobby_specialization_index,0.0028556646
hobby_proficiency_std,0.0025204702
leadership_potential,0.0019543988
