feature,importance
stem_vs_humanities,0.05163774
stem_score,0.050598495
science_grade,0.04295714
english_grade,0.042934734
social_grade,0.041276325
math_grade,0.040180273
humanities_score,0.040023893
technical_orientation,0.037904132
social_orientation,0.036337227
language_grade,0.034354657
creative_orientation,0.03317102
has_sports,0.031216761
has_writing,0.030161459
research_orientation,0.029963981
has_programming,0.028217062
academic_average,0.026800213
num_hobbies,0.026174592
hobby_proficiency_std,0.026090909
hobby_specialization_index,0.02589131
hobby_intensity_std,0.025804345
has_music,0.025677582
has_robotics,0.025410062
avg_hobby_intensity,0.025065498
avg_hobby_proficiency,0.024896942
academic_consistency,0.02484618
academic_specialization_index,0.02483293
avg_hobby_years,0.024803659
academic_peak,0.024785064
has_photography,0.02477934
max_hobby_intensity,0.024663001
max_hobby_proficiency,0.024567563
has_research,0.023975927
has_entrepreneurship,0.0
detail_orientation,0.0
openness,0.0
conscientiousness,0.0
extraversion,0.0
agreeableness,0.0
neuroticism,0.0
adaptability_score,0.0
collaboration_score,0.0
innovation_potential,0.0
has_reading,0.0
stress_resilience,0.0
people_orientation,0.0
analytical_disposition,0.0
leadership_potential,0.0
has_cooking,0.0
has_volunteering,0.0
has_gaming,0.0
personality_extremity,0.0
